"Timestamp","Per favore, scegli una regione","Quante persone conosci in questa area geografica?","Per quanto ne sai, quante persone tra quelle sopra hanno sintomi compatibili con COVID-19, o sono risultati positivi per questa malattia?"
"2020/03/25 6:17:32 PM GMT+1","Veneto","100","0"
"2020/03/25 6:21:30 PM GMT+1","Trentino-Alto Adige","30","3"
"2020/03/25 6:47:38 PM GMT+1","Emilia-Romagna","50","0"
"2020/03/25 6:52:39 PM GMT+1","Emilia-Romagna","400","0"
"2020/03/25 7:08:59 PM GMT+1","Lombardia","20","2"
"2020/03/25 7:36:16 PM GMT+1","Emilia-Romagna","40","2"
"2020/03/25 8:01:23 PM GMT+1","Veneto","50","2"
"2020/03/25 9:02:21 PM GMT+1","Veneto","5","0"
"2020/03/25 9:25:14 PM GMT+1","Emilia-Romagna","100","0"
"2020/03/25 10:30:17 PM GMT+1","Emilia-Romagna","100","0"
"2020/03/25 10:48:31 PM GMT+1","Emilia-Romagna","200","0"
"2020/03/25 10:56:39 PM GMT+1","Veneto","50","2"
"2020/03/25 11:21:35 PM GMT+1","Tutta la nazione","20","0"
"2020/03/25 11:40:01 PM GMT+1","Veneto","100","0"
"2020/03/26 7:02:44 AM GMT+1","Emilia-Romagna","30","0"
